M41420	01 M4-1.4.20.sh	M4 1.4.20
Ncurses65	02 Ncurses-6.5-20250809.sh	Ncurses 6.5-20250809
Bash5	03 Bash-5.3.sh	Bash 5.3
Coreutils9	04 Coreutils-9.7.sh	Coreutils 9.7
Diffutils3	05 Diffutils-3.12.sh	Diffutils 3.12
File5	06 File-5.46.sh	File 5.46
Findutils4	07 Findutils-4.10.0.sh	Findutils 4.10.0
Gawk5	08 Gawk-5.3.2.sh	Gawk 5.3.2
Grep3	09 Grep-3.12.sh	Grep 3.12
Gzip1	10 Gzip-1.14.sh	Gzip 1.14
Make4	11 Make-4.4.1.sh	Make 4.4.1
Patch2	12 Patch-2.8.sh	Patch 2.8
Sed4	13 Sed-4.9.sh	Sed 4.9
Tar1	14 Tar-1.35.sh	Tar 1.35
Xz5	15 Xz-5.8.1.sh	Xz 5.8.1
Binutils2Pass2	16 Binutils-2.45-Pass 2.sh	Binutils 2.45 Pass 2
GCC15Pass2	17 GCC-15.2.0-Pass 2.sh	GCC-15.2.0 Pass 2
