bldManpages	01 Man-pages-6.15.sh	Man pages (6.15)
bldIanaEtc	02 IanaEtc(20250807.sh	Iana-Etc (20250807)
bldGlibc	03 glibc-2.42.sh	Glibc (2.42)
bldZlib	04 zlib-1.3.1.sh	Zlib (1.3.1)
bldBzip2	05 bzip2-1.0.8.sh	Bzip2 (1.0.8)
bldXz	06 xz-5.8.1.sh	Xz Utils (5.8.1)
bldLz4	07 lz4-1.10.0.sh	Lz4 (1.10.0)
bldZstd	08 zstd-1.5.7.sh	Zstd (1.5.7)
bldFile	09 file-5.46.sh	File (5.46)
bldReadline	10 readline-8.3.sh	Readline (8.3)
bldM4	11 m4-1.4.20.sh	M4 (1.4.20)
bldBc	12 bc-7.0.3.sh	Bc (7.0.3)
bldFlex	13 flex-2.6.4.sh	Flex (2.6.4)
bldTcl	14 tcl8.6.16-src.sh	Tcl (8.6.16)
bldExpect	15 expect 5.45.4.sh	Expect (5.45.4)
bldDejaGNU	16 dejagnu-1.6.3.sh	DejaGNU (1.6.3)
bldPkgconf	17 pkgconf-2.5.1.sh	Pkgconf (2.5.1)
bldBinutils	18 binutils-2.45.sh	Binutils (2.45)
bldGMP	19 gmp-6.3.0.sh	GMP (6.3.0)
bldMPFR	20 mpfr-4.2.2.sh	MPFR (4.2.2)
bldMPC	21 mpc-1.3.1.sh	MPC (1.3.1)
bldAttr	22 attr-2.5.2.sh	Attr (2.5.2)
bldAcl	23 acl-2.3.2.sh	Acl (2.3.2)
bldLibcap	24 libcap-2.76.sh	Libcap (2.76)
bldLibxcrypt	25 libxcrypt-4.4.38.sh	Libxcrypt (4.4.38)
bldShadow	26 shadow-4.18.0.sh	Shadow (4.18.0)
bldGCC	27 gcc-15.2.0.sh	GCC (15.2.0)
bldNcurses	28 ncurses-6.5-20250809.sh	Ncurses (6.5-20250809)
bldSed	29 sed-4.9.sh	Sed (4.9)
bldPsmisc	30 psmisc-23.7.sh	Psmisc (23.7)
bldGettext	31 gettext-0.26.sh	Gettext (0.26)
bldBison	32 bison-3.8.2.sh	Bison (3.8.2)
bldGrep	33 grep-3.12.sh	Grep (3.12)
bldBash	34 bash-5.3.sh	Bash (5.3)
bldLibtool	35 libtool-2.5.4.sh	Libtool (2.5.4)
bldGDBM	36 gdbm-1.26.sh	GDBM (1.26)
bldGperf	37 gperf-3.3.sh	Gperf (3.3)
bldExpat	38 expat-2.7.1.sh	Expat (2.7.1)
bldInetutils	39 inetutils-2.6.sh	Inetutils (2.6)
