Winxorgproto	01 xorgproto-1.20.2.sh	xorgproto (2024.1)
WinlibXau	02 libXau-1.0.12.sh	libXau (1.0.12)
WinlibXdmcp	03 libXdmcp-1.1.5.sh	libXdmcp (1.1.5)
Winxtrans	04 xtrans-1.6.0.sh	xtrans (1.6.0)
Winxcbproto	05 xcb-proto-1.17.0.sh	xcb-proto (1.17.0)
Winlibxcb	06 libxcb-1.17.0.sh	libxcb (1.17.0)
WinlibX11	07 libX11-1.8.12.sh	libX11 (1.8.12)
WinlibXext	08 libXext-1.3.6.sh	libXext (1.3.6)
Winpixman	09 pixman-0.46.4.sh	pixman (0.46.4)
winlibxcvt	10 libxcvt-0.1.3.sh	libxcvt (0.1.3)
Winxkeyboardconfig	11 xkeyboard-config-2.45.sh	xkeyboard-config (2.45)
winfontutil	12 font-util-1.4.1.sh	font-util (1.4.1)
winlibdrm	13 libdrm-2.4.125.sh	libdrm (2.4.125)
winmako	14 mako-1.3.10.sh	Mako (1.3.10)
winpyyaml	15 pyyaml-6.0.2.sh	PyYAML (6.0.2)
winlibXfixes	16 libXfixes-6.0.1.sh	libXfixes (6.0.1)
winlibxshmfence	17 libxshmfence-1.3.3.sh	libxshmfence (1.3.3)
winlibXxf86vm	18 libXxf86vm-1.1.6.sh	libXxf86vm (1.1.6)
winlibXrender	19 libXrender-0.9.12.sh	libXrender (0.9.12)
winlibXrandr	20 libXrandr-1.5.4.sh	libXrandr (1.5.4)
winmesa	21 mesa-25.1.8.sh	Mesa (25.1.8)
winlibepoxy	22 libepoxy-1.5.10.sh	libepoxy (1.5.10)
winlibevdev	23 libevdev-1.13.4.sh	libevdev (1.13.4)
winlibinput	24 libinput-1.29.0.sh	libinput (1.29.0)
winmtdev	25 mtdev-1.1.7.sh	mtdev (1.1.7)
winlibxkbfile	26 libxkbfile-1.1.3.sh	libxkbfile (1.1.3)
winfreetype	27 freetype-2.13.3.sh	freetype (2.13.3)
winlibfontenc	28 libfontenc-1.1.8.sh	libfontenc (1.1.8)
windbus	29 dbus-1.16.2.sh	dbus (1.16.2)
libXfont2	30 libXfont2-2.0.7.sh	libXfont2 (2.0.7)
winlibpciaccess	31 libpciaccess-0.18.1.sh	libpciaccess (0.18.1)
winxorgserver	32 xorg-server-21.1.18.sh	xorg-server (21.1.18)
winxorglibinput	33 xf86-input-libinput-1.5.sh	xf86 input libinput (1.5.0)
winelogind	34 elogind-255.17.sh	elogind (255.17)
winxinit	35 xinit-1.4.4.sh	xinit (1.4.4)
winxkbcomp	36 xkbcomp-1.4.7.sh	xkbcomp (1.4.7)
winlibXaw	37 libXaw-1.0.16.sh	libXaw (1.0.16)
winluit	38 luit-20240910.sh	luit (20240910)
winxterm	39 xterm-401.sh	xterm (401)
