XorgEnvSetup	01 Xorg build environment.sh	Xorg Build Environment Setup
blfslibtirpc	02 libtirpc-1.3.6.sh	libtirpc (1.3.6)
blfslibpng	03 libpng-1.6.50.sh	libpng (1.6.50)
blfsWhich	04 Which-2.23.sh	Which (2.23)
blfsICU771	05 ICU-77.1.sh	ICU (77.1)
blfsdocutils	06 docutils-0.21.2.sh	Doc utils (0.21.2)
blfsValgrind3251	07 Valgrind-3.25.1.sh	Valgrind (3.25.1)
blfslibuv1510	08 libuv-1.51.0.sh	libuv (1.51.0)
blfsGCC1520	09 GCC-15.2.0.sh	GCC (15.2.0)
blfslibunistring13	10 libunistring-1.3.sh	libunistring (1.3)
blfslibtasn142	11 libtasn1-4.20.0.sh	libtasn1 (4.20.0)
blfs7zip2501	12 7zip-25.01.sh	7zip (25.01)
blfsCrackLib2103	13 CrackLib-2.10.3.sh	CrackLib (2.10.3)
BLFSmtdev117	14 mtdev-1.1.7.sh	mtdev (1.1.7)
blfsduktape270	15 duktape-2.7.0.sh	Duktape (2.7.0)
blfsMako1310	16 Mako-1.3.10.sh	Mako (1.3.10)
blfsCython313	17 Cython-3.1.3.sh	Cython (3.1.3)
blfslibyaml025	18 libyaml-0.2.5.sh	Libyaml (0.2.5)
blfsply311	19 ply-3.11.sh	ply (3.11)
blfsNettools210	20 Net-tools-2.10.sh	Net-tools (2.10)
hwdata0398	21 hwdata-0.398.sh	hwdata (0.398)
blfslibarchive381	22 libarchive-3.8.1.sh	libarchive (3.8.1)
blfsSQLite3504	23 SQLite-3.50.4.sh	SQLite (3.50.4)
blfsPython3137	24 Python-3.13.7.sh	Python (3.13.7)
