blfslibxml22145	01 libxml2-2.14.5.sh	libxml2 (2.14.5)
blfsxcbproto1170	02 xcb-proto-1.17.0.sh	xcb-proto (1.17.0)
blfsutilmacros1202	03 util-macros-1.20.2.sh	util-macros (1.20.2)
blfslibxcvt013	04 libxcvt-0.1.3.sh	libxcvt (0.1.3)
blfsPixman0464	05 Pixman-0.46.4.sh	Pixman (0.46.4)
blfsNettle3102	06 Nettle-3.10.2.sh	Nettle (3.10.2)
blfsPyYAML602	07 PyYAML-6.0.2.sh	PyYAML (6.0.2)
blfslibidn2238	08 libidn2-2.3.8.sh	libidn2 (2.3.8)
blfslibpsl0215	09 libpsl-0.21.5.sh	libpsl (0.21.5)
blfsp11kit0255	10 p11-kit-0.25.5.sh	p11-kit (0.25.5)
blfsmakeca1161	11 make-ca-1.16.1.sh	make-ca (1.16.1)
